(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
695bfd1e-403b-e911-a971-000d3a51ce98,69AIYQm8WqUb5b/060PAo4zIG/ptQY8RidYvdIk4Kv9BSciEfqCtUmSt2KcZRTKm3+ZdR4sH+0cwaYIJobBjFg==,2020/10/27 6:43,S0060,Service Resale 【アルテリア】回線サービス,サブスクリプション,
6b5bfd1e-403b-e911-a971-000d3a51ce98,aDODlmoclZi1w6aMSDcO7mmpNsZDmwczNp7u6UmYeU6S3+Ihu3ofvctIiHqN3lf3xtC4qS7mjSXSAHSMhp7FAw==,2020/10/27 6:43,S0061,Service Resale 【その他】回線サービス,サブスクリプション,
6d5bfd1e-403b-e911-a971-000d3a51ce98,oxjlhU+lYuCBq9MV98RR7KVv4Ak+zBbcJDs2GABcv+etiR5pfQs73Bi4KyM5B7sRfv4RcBLiFdREAvhqv3Xtgw==,2020/10/27 6:43,S0062,Surface Hub as a Service,サブスクリプション,
6f5bfd1e-403b-e911-a971-000d3a51ce98,kk9rtewGWODGR0wuGeWddhmDHmPE0EAT2XKEDg9T1FN30BM+hWQeagpsZJlGClRCBjxIKpa9w4+9xMqSE4Rj5A==,2020/10/27 6:43,S0063,the MATRIX for AWS,サブスクリプション,
735bfd1e-403b-e911-a971-000d3a51ce98,SWx5m3bUORnTSpOftwxhPSmxT7vra8mn8pPwwe3LVcCvEOBnbQVNgv7qBchcwD5H/mTue0BPYf1NwmvtdcxMxg==,2020/10/27 6:43,S0065,the MATRIX for CSP,サブスクリプション,
775bfd1e-403b-e911-a971-000d3a51ce98,m06KfiwvvPZ6chaaFjElKK9fvZ8nlQXcbyPifYpzME+wd5K07+zEEICHjWBDf+qgwLOlQSj3b0RM3VZB9Jn6jA==,2020/10/27 6:43,S0067,the MATRIX for RPA,サブスクリプション,
795bfd1e-403b-e911-a971-000d3a51ce98,VsqWPYT1RMeaWCh3zMauWhaS8OhYzfdFMK3qT5EmBe7TDwg/5Lo4BIna1iu5UJ0R/ZTq7C5PoX4LYtX89B4nRA==,2020/10/27 6:43,S0068,the MATRIX for マネージドシステムサービス,サブスクリプション,
7b5bfd1e-403b-e911-a971-000d3a51ce98,cVS4xefVw+D2DHDuVuYcsdK8zbOj0332LfA7hCI9x2VLy+k79VqX1FkmNE/0o32FmUARbmyM3A8kCk9c+fbhNg==,2020/10/27 6:43,S0069,VDI PoC ( 簡易検証 ) 環境構築サービス,非サブスクリプション,
7d5bfd1e-403b-e911-a971-000d3a51ce98,YM+7yldqXY8hIy2nen+Zmen9ynhLDlNe3V0rMCCenCEv9ffHue/L2NGrHljQQsCm4YScRJLnzZssv0XLK+6c9Q==,2020/10/27 6:43,S0070,VMware Horizon Cloud PoC 環境構築サービス,非サブスクリプション,
7f5bfd1e-403b-e911-a971-000d3a51ce98,LwHbPi1ZfwF9ZYMM7ejgXhPg3NJr32QL0SaXap1oaBqqQtHvF/F0/2dAL61dha4VkSHgjfW5f0uDt/a/y0sEfQ==,2020/10/27 6:43,S0071,VMware NSX-T PoC 環境構築サービス,非サブスクリプション,
815bfd1e-403b-e911-a971-000d3a51ce98,HThcmEl3ZeTebWsqWoDhLj4Lh5oIo9m9SviGzG2eqN+146BX+45JFHtUMuvDVJQCmXsx8SPWb14hPyaCR7JnGw==,2020/10/27 6:43,S0072,アプリケーションマネジメントアウトソーシング（AMO）サービス,非サブスクリプション,
835bfd1e-403b-e911-a971-000d3a51ce98,pP1ebDrMH4QEeCc+t80DkIDgIy/ncjLboPUhyWRppXBOkW2iHVg0VtXy8nSW38UiJw3fTjTp09ix+11MsEodNw==,2020/10/27 6:46,S0073,クラウド PBX による電話通信サービス INNOVERA?＋JBS-mode,サブスクリプション,
855bfd1e-403b-e911-a971-000d3a51ce98,UpKB1ZVstfU/aJl3zjslU04WT0JbiXIbSen2otDxMIAJV6Jg9KIDc0bfrXQbNkOq046CWThiso1vV2e3NfKILQ==,2020/10/27 6:46,S0074,クラウド PBX による電話通信サービス INNOVERA?＋JBS-mode（国際通話オプション）,サブスクリプション,
875bfd1e-403b-e911-a971-000d3a51ce98,tlSnGkFIoNYRdsM+nENaHCMVKKC4QdNl8G6Eb+6grZZw4sBSHECrfPUc97H7WGJiAJ3DP9mjk3Mx2n5+gCl0IA==,2020/10/27 6:43,S0075,システム化構想・計画策定,非サブスクリプション,
895bfd1e-403b-e911-a971-000d3a51ce98,YIgzRgnUwh0TeMHNSxRcGtvkH0KW+QIEBJNJ58+1QdrOEYX/uQT3rlxb/tLW2ZGiWi0J3/kNpeSElT/yYOx48g==,2020/10/27 6:43,S0076,スマートスタート for Exchange Online,非サブスクリプション,
8b5bfd1e-403b-e911-a971-000d3a51ce98,rkjEgBbBfOPF7G2wNNt3F43hUMU3kerJeqLBx/YP0dK6Tc32g3L9aZkGv/0kOECuR2YiRMDH5+NlmjYskQ9cow==,2020/10/27 6:43,S0077,データ分析基盤構築・活用サービス - Data for Insight -,非サブスクリプション,
8d5bfd1e-403b-e911-a971-000d3a51ce98,W+yzv6F//nnkhSgDaE723lqGBBoil1mFTTpRFDAisGPs8OcE34ase3QeonDu5xn1fmPq+dH1WQuyngW0JA2+9g==,2020/10/27 6:43,S0078,ハンズオンラボ for WindowsAutopilot,非サブスクリプション,
8f5bfd1e-403b-e911-a971-000d3a51ce98,PSJuxmdpy5Wu6CkIjXvuQQ9jr75brhhHp8nwo7752NekgzO7I89uDoTm/G0xWwBbseNrLmTtPQ3j7CdV8VoErA==,2020/10/27 6:43,S0079,マイクロソフト ハイブリッドクラウドプラットフォームトータルソリューション,非サブスクリプション,
915bfd1e-403b-e911-a971-000d3a51ce98,VkJHbUT7WY0HjvPJGDxhEhkpDCzWiiJUgYYggDBuIJubMF2amnIzKitAi4ZMChOTXNQf/0LaJQr7BHpcpPGiqw==,2020/10/27 6:43,S0080,マイナンバー 収集代行・管理サービス（オプション）,サブスクリプション,
935bfd1e-403b-e911-a971-000d3a51ce98,8+Yuf0WgfBX/2nOlvxLk5rCtx0CBTPpw5sa1uiYzfhrkD8bLxk5O6neoEI2KpBdhqRX3b1sF8veIbwKPL9AZtg==,2020/10/27 6:43,S0081,マイナンバー 収集代行・管理サービス（基本サービス）,サブスクリプション,
955bfd1e-403b-e911-a971-000d3a51ce98,PdCWi0BS+xmIhFuQQktAgYRwvUcgod1oZ4BjDMmnRuCsFo5f3bctk9X31qhk2EqBfr47TkQMv6pvgSeNBNnkbw==,2020/10/27 6:43,S0082,マネージドシステムサービス for Azure,サブスクリプション,
9b5bfd1e-403b-e911-a971-000d3a51ce98,OwC5xKBpIGu8BZgELbebsAKz3X4LJDJaVIqFYkCzMa62kKdh0wIbcgqZ2x17AJeS5uwp3SxtqvH7vVQo8kwqcA==,2020/10/27 6:43,S0085,マネージドシステムサービス システム保守 クラウドファイルサーバー,サブスクリプション,
a35bfd1e-403b-e911-a971-000d3a51ce98,VeyWDrqEcxgfp1lVqWYXD699RJoLJvIaEwJNgmjs9sZ4PkKdtZVNLCclrHBIcAxWuLGbZMdM3xK+olFenoxn6Q==,2020/10/27 6:43,S0089,マネージドセキュリティサービス for Windows Defender ATP,サブスクリプション,
